Salesperson,ProductClass,Year,Month,Invoice,QtyInvoiced,NetSalesValue,TargetSales,CustomerClass
SM-JL,DVG,2023,1,10000059,24.0,720.0,334839.4709,CTRD-SD
SM-JL,DVG,2023,1,10000059,24.0,720.0,334839.4709,CTRD-SD
SM-JL,DVG,2023,1,10000059,48.0,1440.0,334839.4709,CTRD-SD
SM-JL,DVG,2023,1,10000059,2.0,60.0,334839.4709,CTRD-SD
SM-JL,DVG,2023,1,10000059,12.0,360.0,334839.4709,CTRD-SD
SM-JL,DVG,2023,1,10000059,2.0,60.0,334839.4709,CTRD-SD
SM-JL,DVG,2023,1,10000059,3.0,90.0,334839.4709,CTRD-SD
SM-JL,DVG,2023,1,10000059,12.0,360.0,334839.4709,CTRD-SD
SM-JL,DVG,2023,1,10000059,1.0,30.0,334839.4709,CTRD-SD
SM-JL,DVG,2023,1,10000059,12.0,360.0,334839.4709,CTRD-SD
SM-JL,DVG,2023,1,10000059,2.0,60.0,334839.4709,CTRD-SD
SM-JL,DVG,2023,1,10000059,6.0,180.0,334839.4709,CTRD-SD
SM-JL,DVG,2023,1,10000059,6.0,230.4,334839.4709,CTRD-SD
SM-JL,DVG,2023,1,10000059,15.0,641.25,334839.4709,CTRD-SD
SM-JL,DVG,2023,1,10000059,6.0,292.5,334839.4709,CTRD-SD
SM-JL,DVG,2023,1,10000059,1.0,47.25,334839.4709,CTRD-SD
SM-JL,DVG,2023,1,10000059,30.0,1080.0,334839.4709,CTRD-SD
SM-JL,DVG,2023,1,10000059,3.0,117.0,334839.4709,CTRD-SD
SM-JL,DVG,2023,1,10000059,16.0,624.0,334839.4709,CTRD-SD
SM-JL,TEA,2023,1,10000059,3.0,99.45,49211.125,CTRD-SD
SM-JL,TEA,2023,1,10000059,3.0,99.45,49211.125,CTRD-SD
SM-JL,TEA,2023,1,10000059,1.0,40.8,49211.125,CTRD-SD
SM-JL,DVG,2023,1,10000059,10.0,150.0,334839.4709,CTRD-SD
SM-JL,DVG,2023,1,10000059,10.0,105.0,334839.4709,CTRD-SD
SM-JL,TEA,2023,1,10000059,1.0,40.8,49211.125,CTRD-SD
SM-JL,DVG,2023,1,10000060,3.0,146.25,334839.4709,CTRD-SD
SM-JL,DVG,2023,1,10000060,6.0,256.5,334839.4709,CTRD-SD
SM-JL,DVG,2023,1,10000060,12.0,460.8,334839.4709,CTRD-SD
SM-JL,DVG,2023,1,10000060,5.0,192.0,334839.4709,CTRD-SD
SM-JL,DVG,2023,1,10000060,12.0,4608.0,334839.4709,CTRD-SD
SM-JL,DVG,2023,1,10000061,24.0,720.0,334839.4709,CTRD-HRC
SM-JL,DVG,2023,1,10000061,36.0,1080.0,334839.4709,CTRD-HRC
SM-JL,DVG,2023,1,10000061,36.0,1468.8,334839.4709,CTRD-HRC
SM-JL,DVG,2023,1,10000062,4.0,228.0,334839.4709,CTRD-HRC
SM-JL,DVG,2023,1,10000062,1.0,65.0,334839.4709,CTRD-HRC
SM-JL,DVG,2023,1,10000062,1.0,40.0,334839.4709,CTRD-HRC
SM-JL,DVG,2023,1,10000063,12.0,460.8,334839.4709,CTRD-SD
